# Sensor Coronel Sur, Chile (Sistema Nacional de Calidad del Aire en Chile/816)
# https://aqicn.org/station/@500230/
# Daily so2
date,min,max,median,q1,q3,stdev,count
2024-08-18T00:00:00.000Z,3.71,3.71,3.71,3.71,3.71,0,1
2024-08-19T00:00:00.000Z,1,2.45,1.2,1,1.4,0.465,11
2024-08-20T00:00:00.000Z,1,2.18,1,1,1.27,0.356,16
2024-08-21T00:00:00.000Z,1,1.13,1,1,1.03,0.048,7
2024-08-22T00:00:00.000Z,1,1.73,1,1,1.12,0.212,14
2024-08-23T00:00:00.000Z,1,3.26,1,1,1.25,0.574,14
2024-08-24T00:00:00.000Z,1,2.11,1.03,1,1.54,0.343,15
2024-08-25T00:00:00.000Z,1.02,2.39,1.22,1.09,1.48,0.432,15
2024-08-26T00:00:00.000Z,1,46.34,1.21,1.11,1.39,11.574,14
2024-08-27T00:00:00.000Z,1.3,5.75,1.78,1.45,3.05,1.403,16
2024-08-28T00:00:00.000Z,1.1,7.81,2.08,1.31,2.68,1.644,15
2024-08-29T00:00:00.000Z,1.04,2.96,1.57,1.24,2.78,0.689,15
2024-08-30T00:00:00.000Z,1,2.63,1.3,1.13,1.76,0.475,17
2024-08-31T00:00:00.000Z,1,1.95,1.29,1.11,1.74,0.331,17
2024-09-01T00:00:00.000Z,1,4.04,1,1,1.33,0.709,17
2024-09-02T00:00:00.000Z,1,1.43,1.02,1,1.09,0.151,18
2024-09-03T00:00:00.000Z,1,1.49,1,1,1.12,0.149,18
2024-09-04T00:00:00.000Z,1,1.37,1,1,1.11,0.119,18
2024-09-05T00:00:00.000Z,1,2.44,1.2,1.02,1.46,0.459,18
2024-09-06T00:00:00.000Z,1,36.57,1.03,1,1.12,8.353,17
2024-09-07T00:00:00.000Z,1,1.47,1,1,1,0.151,17
2024-09-08T00:00:00.000Z,1,2.87,1,1,1.28,0.459,24
2024-09-09T00:00:00.000Z,1,1.81,1.06,1,1.2,0.228,20
2024-09-10T00:00:00.000Z,1,1.82,1,1,1.2,0.301,24
2024-09-11T00:00:00.000Z,1,54.3,1.07,1,1.59,10.602,24
2024-09-12T00:00:00.000Z,1,1.9,1.11,1,1.24,0.235,21
2024-09-13T00:00:00.000Z,1,2.41,1.41,1.08,1.69,0.417,13
2024-09-14T00:00:00.000Z,1,3.16,1.17,1,2.06,0.649,24
2024-09-15T00:00:00.000Z,1,1.97,1.01,1,1.19,0.235,24
2024-09-16T00:00:00.000Z,1,70.2,1.47,1.25,2.04,13.715,24
2024-09-17T00:00:00.000Z,1,2.29,1.17,1.06,1.31,0.342,24
2024-09-18T00:00:00.000Z,1,1.23,1.05,1.01,1.12,0.068,24
2024-09-19T00:00:00.000Z,1,1.09,1,1,1.02,0.028,24
2024-09-20T00:00:00.000Z,1,1.04,1,1,1,0.008,24
2024-09-21T00:00:00.000Z,1,2,1.11,1.04,1.3,0.265,24
2024-09-22T00:00:00.000Z,1,1.04,1,1,1,0.008,24
2024-09-23T00:00:00.000Z,1,1.4,1,1,1.1,0.113,24
2024-09-24T00:00:00.000Z,1,7.16,1.34,1,1.83,1.562,24
2024-09-25T00:00:00.000Z,1,62.07,1.1,1,1.47,12.16,24
2024-09-26T00:00:00.000Z,1,3.48,1.69,1.17,2.11,0.629,24
2024-09-27T00:00:00.000Z,1,2.45,1.17,1.02,1.52,0.431,24
2024-09-28T00:00:00.000Z,1,3.08,1.04,1,1.33,0.532,24
2024-09-29T00:00:00.000Z,1,1.17,1.02,1,1.06,0.044,24
2024-09-30T00:00:00.000Z,1,1.24,1,1,1.06,0.056,24
2024-10-01T00:00:00.000Z,1,2.02,1.02,1,1.23,0.258,24
2024-10-02T00:00:00.000Z,1,5.12,1.18,1,1.79,1.002,24
2024-10-03T00:00:00.000Z,1,2.17,1.3,1.12,1.59,0.31,23
2024-10-04T00:00:00.000Z,1,4.49,1.25,1.08,1.61,0.825,24
2024-10-05T00:00:00.000Z,1.03,2.17,1.36,1.15,1.52,0.254,24
2024-10-06T00:00:00.000Z,1,13.7,1.72,1.3,3.8,3.621,24
2024-10-07T00:00:00.000Z,1,2.29,1.21,1.11,1.4,0.281,24
2024-10-08T00:00:00.000Z,1,3.04,1.07,1,1.35,0.442,24
2024-10-09T00:00:00.000Z,1,44.08,2.02,1.06,5.65,9.212,22
2024-10-10T00:00:00.000Z,1,5.56,1.23,1.08,2.7,1.443,13
2024-10-11T00:00:00.000Z,1,1.23,1.03,1,1.07,0.068,15
2024-10-12T00:00:00.000Z,1,1.73,1.17,1.02,1.29,0.216,22
2024-10-13T00:00:00.000Z,1,2.59,1.19,1,1.33,0.343,24
2024-10-14T00:00:00.000Z,1,2.11,1.07,1,1.34,0.308,24
2024-10-15T00:00:00.000Z,1,2.84,1.52,1.11,2.21,0.613,24
2024-10-16T00:00:00.000Z,1,1.32,1,1,1.08,0.087,20
2024-10-17T00:00:00.000Z,1,1.46,1.02,1,1.07,0.147,24
2024-10-18T00:00:00.000Z,1,3.53,1.14,1.08,1.57,0.594,24
2024-10-19T00:00:00.000Z,1,1.58,1.04,1,1.21,0.163,24
2024-10-20T00:00:00.000Z,1,1.19,1,1,1,0.046,24
2024-10-21T00:00:00.000Z,1,1.57,1,1,1.02,0.181,14
2024-10-28T00:00:00.000Z,1.14,1.18,1.15,1.14,1.17,0.012,5
2024-10-29T00:00:00.000Z,1,2.25,1.17,1.04,1.31,0.268,24
2024-10-30T00:00:00.000Z,1,1.02,1,1,1,0.004,24
2024-10-31T00:00:00.000Z,1,2.23,1.31,1.1,1.46,0.299,24
2024-11-01T00:00:00.000Z,1,1.11,1.01,1,1.06,0.035,24
2024-11-02T00:00:00.000Z,1,1.58,1.06,1,1.17,0.157,24
2024-11-03T00:00:00.000Z,1,1.47,1.02,1,1.12,0.119,24
2024-11-04T00:00:00.000Z,1,60.6,1,1,1.1,11.901,24
2024-11-05T00:00:00.000Z,1,2.49,1.04,1,1.27,0.352,24
2024-11-06T00:00:00.000Z,1,7.45,1.17,1.03,1.6,1.274,24
2024-11-07T00:00:00.000Z,1,1.92,1.18,1.04,1.52,0.281,24
2024-11-08T00:00:00.000Z,1,2.62,1.3,1.07,1.75,0.437,24
2024-11-09T00:00:00.000Z,1,1.48,1,1,1.09,0.13,24
2024-11-10T00:00:00.000Z,1,1.2,1,1,1,0.054,24
2024-11-11T00:00:00.000Z,1,1.77,1,1,1,0.198,24
2024-11-12T00:00:00.000Z,1,3.29,1,1,1.12,0.501,24
2024-11-13T00:00:00.000Z,1,1.64,1.19,1.05,1.39,0.201,24
2024-11-14T00:00:00.000Z,1,2.08,1.14,1.01,1.3,0.27,19
2024-11-15T00:00:00.000Z,1,1.69,1.11,1.02,1.18,0.16,24
2024-11-16T00:00:00.000Z,1,2.85,1.14,1,1.49,0.519,24
2024-11-17T00:00:00.000Z,1,2.6,1.25,1.01,1.77,0.499,24
2024-11-18T00:00:00.000Z,1,2.42,1.23,1.17,1.49,0.364,24
2024-11-19T00:00:00.000Z,1,1.63,1.18,1.1,1.23,0.15,24
2024-11-20T00:00:00.000Z,1,4.12,1.42,1.06,2.13,0.708,24
2024-11-21T00:00:00.000Z,1,2.42,1.19,1.02,1.44,0.349,20
2024-11-22T00:00:00.000Z,1,2.43,1.19,1.02,1.25,0.308,24
2024-11-23T00:00:00.000Z,1,1.44,1.07,1,1.17,0.126,24
