date, pm25, pm10, o3, no2, so2, co
2025/4/2, 43, , , , , 
2025/1/2, 92, 47, 8, 3, 21, 2
2025/1/3, 88, 42, 12, 6, 3, 3
2025/1/4, 88, 28, 12, 4, 1, 3
2025/1/5, 78, 37, 9, 6, 13, 3
2025/1/6, 90, 41, 11, 5, , 3
2025/1/7, 86, 35, 8, 2, 1, 2
2025/1/8, 78, 38, 8, 2, 7, 2
2025/1/9, 79, 45, 9, 3, 13, 2
2025/1/10, 85, 48, 15, 3, 9, 2
2025/1/11, 88, 42, 11, 3, 17, 2
2025/1/12, 77, 40, 8, 1, 13, 2
2025/1/13, 74, 36, 11, 2, 12, 2
2025/1/14, 69, 38, 9, 3, 2, 2
2025/1/15, 73, 22, 8, 3, 1, 2
2025/1/16, 62, 27, 9, 2, 21, 2
2025/1/17, 67, 28, 9, 3, 21, 2
2025/1/18, 58, 25, 9, 3, 10, 3
2025/1/19, 57, 26, 11, 2, 10, 3
2025/1/20, 61, 27, 8, 2, 10, 3
2025/1/21, 59, 18, 8, 1, 4, 3
2025/1/22, 51, 22, 12, 3, 7, 2
2025/1/23, 49, 28, 10, 4, 8, 4
2025/1/24, 51, 43, 10, 7, 16, 4
2025/1/25, 59, 32, 11, 6, 18, 4
2025/1/26, 47, 19, 9, 4, 6, 3
2025/1/27, 37, 26, 8, 7, 25, 4
2025/1/28, 48, 33, 11, 4, 17, 4
2025/1/29, 53, 30, 14, 4, 11, 4
2025/1/30, 51, 19, 9, 2, 1, 4
2025/1/31, 40, 24, 7, 4, 8, 4
2025/2/1, 45, 24, 9, 3, 18, 4
2025/2/2, 33, 14, 8, 2, 4, 5
2025/2/3, 28, 25, 10, 3, 7, 5
2025/2/4, 38, 27, 12, 5, 3, 4
2025/2/5, 42, 18, 8, 3, 3, 4
2025/2/6, 31, 31, 11, 4, 24, 2
2025/2/7, 39, 48, 14, 5, 17, 4
2025/2/8, 96, 26, 8, 5, 16, 2
2025/2/9, 44, 25, 11, 7, 13, 2
2025/2/10, 48, 42, 12, 3, 20, 2
2025/2/11, 60, 36, 12, 4, 13, 2
2025/2/12, 56, 33, 19, 5, 10, 2
2025/2/13, 57, 44, 10, 5, 10, 2
2025/2/14, 93, 39, 17, 3, 6, 2
2025/2/15, 78, 35, 13, 1, 15, 2
2025/2/16, 82, 21, 8, 5, 9, 2
2025/2/17, 17, 26, 9, 6, 12, 2
2025/2/18, 44, 36, 10, 5, 11, 2
2025/2/19, 63, 31, 9, 3, 1, 4
2025/2/20, 56, 13, 8, 2, 3, 23
2025/2/21, 40, 15, 7, 6, , 4
2025/2/22, 40, 21, 9, 3, 6, 4
2025/2/23, 45, 17, 7, 2, 6, 4
2025/2/24, 45, 18, 2, 4, 1, 4
2025/2/25, 45, 37, 14, 4, 2, 4
2025/2/26, 56, 33, 13, 5, , 5
2025/2/27, 54, 29, 7, 4, 4, 4
2025/2/28, 69, 21, 4, 3, , 4
2025/3/1, 69, 24, 8, 4, , 4
2025/3/2, 75, 29, 6, 4, , 4
2025/3/3, 82, 28, 10, 3, , 4
2025/3/4, 72, 40, 11, 5, , 5
2025/3/5, 85, 28, 6, 5, 1, 5
2025/3/6, 72, 41, 8, 2, , 4
2025/3/7, 71, 20, 11, 3, 6, 4
2025/3/8, 60, 25, 10, 3, 13, 4
2025/3/9, 63, 29, 10, 3, 15, 4
2025/3/10, 66, 32, 7, 2, 18, 4
2025/3/11, 66, 39, 13, 5, 15, 4
2025/3/12, 74, 43, 16, 8, 16, 5
2025/3/13, 79, 32, 11, 6, 18, 8
2025/3/14, 59, 28, 11, 7, 1, 11
2025/3/15, 54, 25, 18, 4, 4, 5
2025/3/16, 48, 25, 12, 3, 8, 5
2025/3/17, 48, 32, 9, 5, 14, 6
2025/3/18, 49, 29, 10, 6, 12, 3
2025/3/19, 47, 30, 14, 5, 19, 2
2025/3/20, 50, 27, 7, 3, 11, 1
2025/3/21, 42, 26, 11, 2, 13, 1
2025/3/22, 38, 28, 12, 2, 14, 1
2025/3/23, 47, 41, 17, 3, 4, 1
2025/3/24, 48, 60, 21, 11, 1, 5
2025/3/25, 112, 39, 18, 8, 1, 2
2025/3/26, 69, 46, 24, 9, 1, 3
2025/3/27, 90, 31, 11, 8, 2, 2
2025/3/28, 61, 20, 12, 5, 3, 2
2025/3/29, 36, 15, 11, 3, 2, 1
2025/3/30, 24, 18, 14, 2, 5, 1
2025/3/31, 32, 21, 12, 4, 5, 2
2025/4/1, 53, 17, 8, 2, 2, 1
2024/10/2, 87, 32, 17, 4, 5, 3
2024/10/3, 86, 35, 17, 7, 1, 6
2024/10/4, 87, 29, 18, 5, 1, 5
2024/10/5, 74, 36, 17, 6, 1, 6
2024/10/6, 88, 52, 4, 10, , 9
2024/10/7, 116, 27, 14, 5, 14, 4
2024/10/8, 47, 21, 18, 4, 1, 4
2024/10/9, 51, 23, 16, 4, , 3
2024/10/10, 52, 19, 16, 4, 1, 3
2024/10/11, 50, 15, 18, 8, , 4
2024/10/12, 47, 21, 18, 6, 4, 4
2024/10/13, 56, 22, 17, 5, 2, 4
2024/10/14, 60, 24, 14, 6, 5, 4
2024/10/15, 53, 27, 15, 7, , 4
2024/10/16, 56, 17, 18, 5, , 4
2024/10/17, 42, 23, 17, 5, 3, 5
2024/10/18, 53, 20, 15, 4, , 4
2024/10/19, 52, 12, 17, 3, , 4
2024/10/20, 35, 14, 19, 1, , 5
2024/10/21, 45, 26, 14, 5, 4, 6
2024/10/22, 62, 31, 16, 7, , 4
2024/10/23, 61, 24, 13, 6, , 5
2024/10/24, 64, 28, 17, 5, 1, 6
2024/10/25, 65, 27, 16, 5, 2, 3
2024/10/26, 52, 26, 16, 6, 5, 3
2024/10/27, 44, 23, 13, 4, 7, 3
2024/10/28, 48, 32, 12, 7, 6, 4
2024/10/29, 52, 29, 20, 5, 1, 3
2024/10/30, 51, 16, 16, 6, , 4
2024/10/31, 44, 24, 12, 7, , 6
2024/11/1, 60, 11, 11, 3, , 4
2024/11/2, 36, 26, 16, 4, , 5
2024/11/3, 69, 19, 15, 3, , 4
2024/11/4, 55, 27, 16, 5, , 4
2024/11/5, 61, 30, 15, 5, 1, 6
2024/11/6, 66, 23, 13, 4, 6, 3
2024/11/7, 52, 27, 17, 3, 2, 4
2024/11/8, 52, 19, 13, 3, 1, 4
2024/11/9, 49, 14, 15, 2, , 4
2024/11/10, 45, 20, 16, 2, , 4
2024/11/11, 57, 42, 13, 4, 3, 4
2024/11/12, 93, 47, 13, 6, 8, 3
2024/11/13, 95, 35, 10, 6, 5, 2
2024/11/14, 71, 24, 11, 3, , 3
2024/11/15, 63, 22, 15, 3, 2, 2
2024/11/16, 50, 22, 12, 5, 5, 2
2024/11/17, 32, 22, 12, 4, 2, 2
2024/11/18, 40, 27, 12, 4, , 3
2024/11/19, 42, 23, 13, 2, , 3
2024/11/20, 37, 18, 12, 2, 2, 2
2024/11/21, 39, 19, 13, 4, 2, 3
2024/11/22, 54, 21, 11, 5, 1, 3
2024/11/23, 53, 19, 11, 3, , 3
2024/11/24, 50, 15, 12, 2, , 3
2024/11/25, 51, 30, 11, 5, 1, 3
2024/11/26, 51, 18, 14, 3, 2, 3
2024/11/27, 45, 24, 12, 3, 3, 3
2024/11/28, 45, 28, 11, 6, 12, 3
2024/11/29, 50, 26, 11, 4, 13, 3
2024/11/30, 54, 22, 11, 2, 2, 3
2024/12/1, 41, 17, 12, 1, 2, 3
2024/12/2, 48, 34, 9, 6, 12, 3
2024/12/3, 51, 30, 13, 6, 6, 3
2024/12/4, 47, 18, 12, 2, 2, 3
2024/12/5, 32, 9, 7, 5, , 4
2024/12/6, 26, 20, 10, 5, 7, 5
2024/12/7, 46, 20, 11, 4, 7, 3
2024/12/8, 38, 17, 11, 2, 10, 3
2024/12/9, 33, 22, 12, 4, 9, 3
2024/12/10, 39, 24, 9, 2, 7, 2
2024/12/11, 34, 32, 10, 4, 13, 2
2024/12/12, 47, 20, 8, 2, 15, 2
2024/12/13, 30, 29, 9, 3, 16, 2
2024/12/14, 39, 32, 11, 3, 9, 2
2024/12/15, 49, 25, 9, 5, 1, 2
2024/12/16, 48, 16, 10, 2, 2, 2
2024/12/17, 29, 24, 8, 2, 7, 2
2024/12/18, 31, 37, 9, 3, 13, 2
2024/12/19, 41, 31, 7, 3, 12, 3
2024/12/20, 42, 19, 6, 2, 5, 3
2024/12/21, 30, 17, 8, 3, 9, 4
2024/12/22, 37, 28, 10, 3, 25, 4
2024/12/23, 49, 23, 8, 2, 15, 3
2024/12/24, 44, 37, 10, 5, 25, 4
2024/12/25, 62, 30, 8, 2, 2, 4
2024/12/26, 66, 21, 8, 3, , 4
2024/12/27, 58, 27, 8, 4, , 4
2024/12/28, 68, 31, 8, 6, , 7
2024/12/29, 77, 43, 9, 2, 2, 4
2024/12/30, 84, , , , , 
2024/7/2, 51, 29, 19, 8, 1, 6
2024/7/3, 64, 54, 16, 11, , 10
2024/7/4, 121, 39, 20, 8, , 6
2024/7/5, 105, 51, 13, 15, 2, 10
2024/7/6, 120, 48, 15, 10, 3, 10
2024/7/7, 130, 64, 12, 9, 3, 16
2024/7/8, 161, 105, 13, 12, 1, 21
2024/7/9, 209, 81, 11, 11, 1, 19
2024/7/10, 181, 128, 13, 18, 1, 29
2024/7/11, 235, 116, 12, 12, 3, 24
2024/7/12, 202, 69, 10, 13, , 14
2024/7/13, 147, 63, 13, 12, , 13
2024/7/14, 149, 63, 12, 10, , 14
2024/7/15, 155, 66, 11, 22, , 15
2024/7/16, 153, 52, 12, 13, 3, 10
2024/7/17, 116, 44, 14, 15, , 12
2024/7/18, 112, 28, 16, 11, , 5
2024/7/19, 68, 28, 16, 11, 2, 5
2024/7/20, 66, 64, 14, 13, 1, 12
2024/7/21, 137, 92, 16, 13, , 22
2024/7/22, 194, 93, 11, 16, 1, 21
2024/7/23, 193, 77, 13, 13, , 18
2024/7/24, 170, 71, 13, 11, , 11
2024/7/25, 167, 44, 15, 9, , 6
2024/7/26, 130, 63, 16, 13, 4, 13
2024/7/27, 153, 66, 17, 10, , 10
2024/7/28, 164, 55, 19, 11, 4, 7
2024/7/29, 145, 60, 14, 13, 2, 10
2024/7/30, 137, 65, 16, 14, , 15
2024/7/31, 143, 52, 21, 3, , 4
2024/8/1, 61, 17, 22, , , 5
2024/8/2, 29, 32, 17, 7, 1, 12
2024/8/3, 84, 61, 17, 11, , 13
2024/8/4, 147, 52, 21, 6, , 12
2024/8/5, 127, 24, 19, 10, , 9
2024/8/6, 53, 73, 16, 14, , 17
2024/8/7, 154, 42, 14, 9, 3, 9
2024/8/8, 96, 61, 10, 10, 1, 13
2024/8/9, 133, 46, 15, 8, 2, 8
2024/8/10, 105, 18, 19, 4, 7, 2
2024/8/11, 54, 39, 18, 6, 6, 6
2024/8/12, 98, 51, 13, 8, 14, 7
2024/8/13, 126, 36, 14, 7, 4, 6
2024/8/14, 90, 21, 17, 7, 6, 4
2024/8/15, 62, 26, 18, 6, 5, 4
2024/8/16, 65, 45, 15, 6, 6, 10
2024/8/17, 108, 44, 16, 7, 5, 10
2024/8/18, 106, 37, 21, 10, 3, 10
2024/8/19, 95, 73, 15, 15, , 19
2024/8/20, 147, 49, 16, 9, , 7
2024/8/21, 126, 52, 14, 10, , 6
2024/8/22, 144, 45, 13, 12, , 12
2024/8/23, 115, 38, 15, 9, 2, 9
2024/8/24, 96, 51, 15, 9, 3, 11
2024/8/25, 121, 44, 13, 8, 1, 10
2024/8/26, 110, 21, 16, 4, 11, 
2024/8/27, 68, 29, 14, 7, 9, 3
2024/8/28, 69, 51, 13, 9, 12, 11
2024/8/29, 109, 58, 13, 11, , 11
2024/8/30, 126, 42, 17, 11, , 7
2024/8/31, 93, 38, 20, 7, 1, 6
2024/9/1, 93, 14, 21, 3, , 1
2024/9/2, 34, 15, 21, 4, , 2
2024/9/3, 30, 39, 18, 10, 1, 9
2024/9/4, 96, 31, 15, 8, 11, 7
2024/9/5, 85, 31, 19, 9, 2, 3
2024/9/6, 71, 17, 22, 4, , 1
2024/9/7, 59, 29, 21, 5, 3, 6
2024/9/8, 84, 33, 19, 5, 3, 3
2024/9/9, 97, 47, 17, 9, 2, 8
2024/9/10, 120, 38, 16, 7, 5, 3
2024/9/11, 111, 39, 18, 8, 6, 2
2024/9/12, 101, 42, 17, 8, 6, 8
2024/9/13, 107, 42, 14, 8, 4, 8
2024/9/14, 113, 40, 20, 9, 13, 6
2024/9/15, 103, 39, 16, 6, 7, 6
2024/9/16, 107, 41, 15, 7, 20, 6
2024/9/17, 102, 53, 17, 8, 1, 8
2024/9/18, 123, 52, 20, 6, , 6
2024/9/19, 120, 31, 21, 5, , 2
2024/9/20, 80, 22, 20, 4, , 2
2024/9/21, 68, 16, 21, 3, , 2
2024/9/22, 55, 13, 19, 5, , 2
2024/9/23, 33, 17, 19, 6, 1, 2
2024/9/24, 49, 19, 22, 4, , 3
2024/9/25, 61, 26, 18, 7, 5, 4
