date, pm25, pm10, o3, no2, so2, co
2025/4/2, 85, , , , , 
2025/1/2, 85, 41, 11, 10, 1, 5
2025/1/3, 83, 43, 9, 7, 1, 6
2025/1/4, 88, 60, 13, 5, , 6
2025/1/5, 76, 26, 22, 4, , 6
2025/1/6, 75, 31, 29, 6, , 6
2025/1/7, 82, 40, 27, 5, 1, 6
2025/1/8, 76, 50, 16, 6, 2, 5
2025/1/9, 83, 57, 31, 10, 6, 10
2025/1/10, 91, 55, 20, 8, 1, 5
2025/1/11, 96, 83, 8, 10, 2, 5
2025/1/12, 99, 57, 11, 7, 2, 5
2025/1/13, 96, 53, 17, 8, 1, 5
2025/1/14, 90, 40, 19, 5, , 6
2025/1/15, 80, 18, 9, 3, , 6
2025/1/16, 64, 45, 10, 9, 1, 6
2025/1/17, 75, 47, 15, 8, 2, 6
2025/1/18, 87, 46, 17, 9, 2, 6
2025/1/19, 87, 41, 18, 9, 2, 7
2025/1/20, 83, 68, 21, 10, 2, 10
2025/1/21, 129, 31, 20, 3, , 7
2025/1/22, 75, 37, 21, 3, , 6
2025/1/23, 73, 33, 13, 9, , 6
2025/1/24, 66, 54, 9, 10, 2, 6
2025/1/25, 85, 56, 13, 10, 3, 6
2025/1/26, 93, 33, 19, 4, , 6
2025/1/27, 76, 66, 10, 11, 2, 6
2025/1/28, 101, 62, 13, 11, 3, 6
2025/1/29, 97, 51, 25, 8, 1, 6
2025/1/30, 86, 48, 17, 6, 1, 7
2025/1/31, 79, 48, 9, 8, 6, 7
2025/2/1, 81, 45, 19, 8, 2, 7
2025/2/2, 82, 27, 14, 4, 1, 7
2025/2/3, 69, 36, 15, 6, 1, 7
2025/2/4, 74, 42, 20, 5, 1, 7
2025/2/5, 76, 36, 17, 4, , 7
2025/2/6, 73, 67, 29, 10, 2, 5
2025/2/7, 80, 54, 28, 8, , 4
2025/2/8, 92, 74, 14, 11, 1, 4
2025/2/9, 114, 92, 18, 17, 3, 5
2025/2/10, 123, 91, 19, 14, 2, 7
2025/2/11, 147, 94, 25, 14, 3, 10
2025/2/12, 173, 78, 21, 8, 2, 6
2025/2/13, 125, 58, 14, 6, 2, 4
2025/2/14, 93, 50, 16, 7, 1, 2
2025/2/15, 80, 45, 15, 8, , 2
2025/2/16, 72, 51, 10, 9, 1, 1
2025/2/17, 67, 66, 11, 10, 1, 1
2025/2/18, 71, 94, 9, 13, 5, 1
2025/2/19, 82, 40, 21, 4, , 2
2025/2/20, 69, 38, 17, 6, , 2
