date, pm25, pm10, o3, no2, so2, co
2025/4/2, 41, , , , , 
2025/1/2, 26, , , , , 
2025/1/3, 29, , , , , 
2025/1/4, 41, , , , , 
2025/1/5, 44, , , , , 
2025/1/6, 30, , , , , 
2025/1/7, 30, , , , , 
2025/1/8, 37, , , , , 
2025/1/9, 30, , , , , 
2025/1/10, 30, , , , , 
2025/1/11, 33, , , , , 
2025/1/12, 32, , , , , 
2025/1/13, 36, , , , , 
2025/1/14, 37, , , , , 
2025/1/15, 31, , , , , 
2025/1/16, 23, , , , , 
2025/1/17, 27, , , , , 
2025/1/18, 28, , , , , 
2025/1/19, 32, , , , , 
2025/1/20, 35, , , , , 
2025/1/21, 45, , , , , 
2025/1/22, 33, , , , , 
2025/1/23, 28, , , , , 
2025/1/24, 20, , , , , 
2025/1/25, 29, , , , , 
2025/1/26, 34, , , , , 
2025/1/27, 33, , , , , 
2025/1/28, 27, , , , , 
2025/1/29, 40, , , , , 
2025/1/30, 43, , , , , 
2025/1/31, 50, , , , , 
2025/2/1, 31, , , , , 
2025/2/2, 29, , , , , 
2025/2/3, 20, , , , , 
2025/2/4, 22, , , , , 
2025/2/5, 37, , , , , 
2025/2/6, 27, , , , , 
2025/2/7, 44, , , , , 
2025/2/8, 60, , , , , 
2025/2/9, 76, , , , , 
2025/2/10, 69, , , , , 
2025/2/11, 63, , , , , 
2025/2/12, 66, , , , , 
2025/2/13, 58, , , , , 
2025/2/14, 52, , , , , 
2025/2/15, 35, , , , , 
2025/2/16, 39, , , , , 
2025/2/17, 41, , , , , 
2025/2/18, 37, , , , , 
2025/2/19, 51, , , , , 
2025/2/20, 50, , , , , 
2025/2/21, 40, , , , , 
2025/2/22, 35, , , , , 
2025/2/23, 38, , , , , 
2025/2/24, 31, , , , , 
2025/2/25, 36, , , , , 
2025/2/26, 60, , , , , 
2025/2/27, 92, , , , , 
2025/2/28, 58, , , , , 
2025/3/1, 25, , , , , 
2025/3/2, 27, , , , , 
2025/3/3, 22, , , , , 
2025/3/4, 26, , , , , 
2025/3/5, 36, , , , , 
2025/3/6, 33, , , , , 
2025/3/7, 32, , , , , 
2025/3/8, 32, , , , , 
2025/3/9, 27, , , , , 
2025/3/10, 32, , , , , 
2025/3/11, 30, , , , , 
2025/3/12, 50, , , , , 
2025/3/13, 61, , , , , 
2025/3/14, 46, , , , , 
2025/3/15, 51, , , , , 
2025/3/16, 48, , , , , 
2025/3/17, 49, , , , , 
2025/3/18, 44, , , , , 
2025/3/19, 44, , , , , 
2025/3/20, 53, , , , , 
2025/3/21, 53, , , , , 
2025/3/22, 37, , , , , 
2025/3/23, 63, , , , , 
2025/3/24, 83, , , , , 
2025/3/25, 64, , , , , 
2025/3/31, 30, , , , , 
2025/4/1, 25, , , , , 
2024/10/2, 5, , , , , 
2024/10/15, 24, , , , , 
2024/10/16, 33, , , , , 
2024/10/17, 17, , , , , 
2024/10/18, 17, , , , , 
2024/10/19, 31, , , , , 
2024/10/20, 32, , , , , 
2024/10/21, 13, , , , , 
2024/10/22, 12, , , , , 
2024/10/23, 16, , , , , 
2024/10/24, 23, , , , , 
2024/10/25, 19, , , , , 
2024/10/26, 11, , , , , 
2024/10/27, 12, , , , , 
2024/10/28, 15, , , , , 
2024/10/29, 21, , , , , 
2024/10/30, 46, , , , , 
2024/10/31, 35, , , , , 
2024/11/1, 45, , , , , 
2024/11/2, 22, , , , , 
2024/11/3, 16, , , , , 
2024/11/4, 28, , , , , 
2024/11/5, 17, , , , , 
2024/11/6, 25, , , , , 
2024/11/7, 19, , , , , 
2024/11/8, 38, , , , , 
2024/11/9, 36, , , , , 
2024/11/10, 21, , , , , 
2024/11/11, 15, , , , , 
2024/11/12, 14, , , , , 
2024/11/13, 22, , , , , 
2024/11/14, 34, , , , , 
2024/11/15, 41, , , , , 
2024/11/16, 26, , , , , 
2024/11/17, 24, , , , , 
2024/11/18, 22, , , , , 
2024/11/19, 36, , , , , 
2024/11/20, 39, , , , , 
2024/11/21, 38, , , , , 
2024/11/22, 29, , , , , 
2024/11/23, 24, , , , , 
2024/11/24, 21, , , , , 
2024/11/25, 16, , , , , 
2024/11/26, 22, , , , , 
2024/11/27, 19, , , , , 
2024/11/28, 22, , , , , 
2024/11/29, 24, , , , , 
2024/11/30, 26, , , , , 
2024/12/1, 34, , , , , 
2024/12/2, 23, , , , , 
2024/12/3, 23, , , , , 
2024/12/4, 34, , , , , 
2024/12/5, 32, , , , , 
2024/12/6, 28, , , , , 
2024/12/7, 21, , , , , 
2024/12/8, 24, , , , , 
2024/12/9, 34, , , , , 
2024/12/10, 38, , , , , 
2024/12/11, 38, , , , , 
2024/12/12, 29, , , , , 
2024/12/13, 31, , , , , 
2024/12/14, 32, , , , , 
2024/12/15, 31, , , , , 
2024/12/16, 35, , , , , 
2024/12/17, 41, , , , , 
2024/12/18, 32, , , , , 
2024/12/19, 34, , , , , 
2024/12/20, 34, , , , , 
2024/12/21, 17, , , , , 
2024/12/22, 23, , , , , 
2024/12/23, 27, , , , , 
2024/12/24, 23, , , , , 
2024/12/25, 35, , , , , 
2024/12/26, 46, , , , , 
2024/12/27, 33, , , , , 
2024/12/28, 34, , , , , 
2024/12/29, 40, , , , , 
2024/12/30, 37, , , , , 
2024/9/10, 46, , , , , 
2023/10/4, 16, , , , , 
2023/10/5, 35, , , , , 
2023/10/6, 40, , , , , 
2023/10/7, 19, , , , , 
2023/10/8, 23, , , , , 
2023/10/9, 27, , , , , 
2023/10/10, 33, , , , , 
2023/7/2, 195, , , , , 
2023/7/3, 35, , , , , 
2023/7/4, 70, , , , , 
2023/7/5, 79, , , , , 
2023/7/6, 81, , , , , 
2023/7/7, 57, , , , , 
2023/7/8, 42, , , , , 
2023/7/9, 65, , , , , 
2023/7/10, 66, , , , , 
2023/7/11, 81, , , , , 
2023/7/12, 102, , , , , 
2023/7/13, 55, , , , , 
2023/7/14, 122, , , , , 
2023/7/15, 165, , , , , 
2023/7/16, 84, , , , , 
2023/7/17, 98, , , , , 
2023/7/18, 167, , , , , 
2023/7/19, 153, , , , , 
2023/7/20, 177, , , , , 
2023/7/21, 93, , , , , 
2023/7/22, 23, , , , , 
2023/7/23, 37, , , , , 
2023/7/24, 74, , , , , 
2023/7/25, 122, , , , , 
2023/7/26, 97, , , , , 
2023/7/27, 95, , , , , 
2023/7/28, 132, , , , , 
2023/7/29, 159, , , , , 
2023/7/30, 165, , , , , 
2023/7/31, 144, , , , , 
2023/8/1, 60, , , , , 
2023/8/2, 86, , , , , 
2023/8/3, 37, , , , , 
2023/8/4, 68, , , , , 
2023/8/5, 104, , , , , 
2023/8/6, 119, , , , , 
2023/8/7, 104, , , , , 
2023/8/8, 112, , , , , 
2023/8/9, 150, , , , , 
2023/8/10, 123, , , , , 
2023/8/11, 59, , , , , 
2023/8/12, 54, , , , , 
2023/8/13, 66, , , , , 
2023/8/14, 99, , , , , 
2023/8/15, 159, , , , , 
2023/8/16, 76, , , , , 
2023/8/17, 25, , , , , 
2023/8/18, 30, , , , , 
2023/8/19, 93, , , , , 
2023/8/20, 24, , , , , 
2023/8/21, 21, , , , , 
2023/8/22, 34, , , , , 
2023/8/23, 49, , , , , 
2023/8/24, 45, , , , , 
2023/8/25, 71, , , , , 
2023/8/26, 55, , , , , 
2023/8/27, 107, , , , , 
2023/9/5, 110, , , , , 
2023/9/6, 54, , , , , 
2023/9/7, 97, , , , , 
2023/9/8, 90, , , , , 
2023/9/9, 76, , , , , 
2023/9/10, 32, , , , , 
2023/9/11, 6, , , , , 
2023/9/12, 25, , , , , 
2023/9/13, 68, , , , , 
2023/9/14, 57, , , , , 
2023/9/15, 66, , , , , 
2023/4/2, 42, , , , , 
2023/4/3, 43, , , , , 
2023/4/4, 44, , , , , 
2023/4/5, 65, , , , , 
2023/4/6, 57, , , , , 
2023/4/7, 45, , , , , 
2023/4/8, 52, , , , , 
2023/4/9, 64, , , , , 
2023/4/10, 63, , , , , 
2023/4/11, 72, , , , , 
2023/4/12, 37, , , , , 
2023/4/13, 45, , , , , 
2023/4/14, 46, , , , , 
2023/4/15, 84, , , , , 
