date, pm25, pm10, o3, no2, so2, co
2025/4/2, 68, , , , , 
2025/1/2, 35, 34, , , , 
2025/1/3, 33, 45, , , , 
2025/1/4, 46, 36, , , , 
2025/1/5, 39, 35, , , , 
2025/1/6, 43, 35, , , , 
2025/1/7, 36, 27, , , , 
2025/1/8, 35, 30, , , , 
2025/1/9, 29, 36, , , , 
2025/1/10, 31, 46, , , , 
2025/1/11, 40, 35, , , , 
2025/1/12, 35, 32, , , , 
2025/1/13, 35, 29, , , , 
2025/1/14, 31, 34, , , , 
2025/1/15, 29, 33, , , , 
2025/1/16, 29, 28, , , , 
2025/1/17, 19, 34, , , , 
2025/1/18, 26, 28, , , , 
2025/1/19, 26, 26, , , , 
2025/1/20, 28, 42, , , , 
2025/1/21, 37, 37, , , , 
2025/1/22, 40, 30, , , , 
2025/1/23, 23, 34, , , , 
2025/1/24, 27, 38, , , , 
2025/1/25, 39, 42, , , , 
2025/1/26, 45, 45, , , , 
2025/1/27, 66, 38, , , , 
2025/1/28, 34, 42, , , , 
2025/1/29, 35, 54, , , , 
2025/1/30, 48, 48, , , , 
2025/1/31, 45, 47, , , , 
2025/2/1, 46, 40, , , , 
2025/2/2, 35, 29, , , , 
2025/2/3, 30, 37, , , , 
2025/2/4, 31, 41, , , , 
2025/2/5, 30, 35, , , , 
2025/2/6, 31, 43, , , , 
2025/2/7, 27, 50, , , , 
2025/2/8, 7, 49, , , , 
2025/2/9, 5, 50, , , , 
2025/2/10, 5, 46, , , , 
2025/2/11, 32, 44, , , , 
2025/2/12, 59, 44, , , , 
2025/2/13, 58, 52, , , , 
2025/2/14, 65, 50, , , , 
2025/2/15, 56, 31, , , , 
2025/2/16, 36, 27, , , , 
2025/2/17, 39, 42, , , , 
2025/2/18, 45, 44, , , , 
2025/2/19, 42, 44, , , , 
2025/2/20, 55, 42, , , , 
2025/2/21, 45, 43, , , , 
2025/2/22, 48, 45, , , , 
2025/2/23, 56, 34, , , , 
2025/2/24, 37, 37, , , , 
2025/2/25, 38, 44, , , , 
2025/2/26, 43, 50, , , , 
2025/2/27, 46, 47, , , , 
2025/2/28, 58, 59, , , , 
2025/3/1, 34, 30, , , , 
2025/3/2, 22, 23, , , , 
2025/3/3, 18, 38, , , , 
2025/3/4, 28, 42, , , , 
2025/3/5, 28, 48, , , , 
2025/3/6, 35, 39, , , , 
2025/3/7, 32, 35, , , , 
2025/3/8, 29, 34, , , , 
2025/3/9, 32, 36, , , , 
2025/3/10, 35, 50, , , , 
2025/3/11, 49, 54, , , , 
2025/3/12, 47, 59, , , , 
2025/3/13, 58, 63, , , , 
2025/3/14, 56, 46, , , , 
2025/3/15, 54, 37, , , , 
2025/3/16, 49, 35, , , , 
2025/3/17, 48, 51, , , , 
2025/3/18, 53, 66, , , , 
2025/3/19, 51, 59, , , , 
2025/3/20, 50, 84, , , , 
2025/3/21, 55, 51, , , , 
2025/3/22, 50, 45, , , , 
2025/3/23, 41, 41, , , , 
2025/3/24, 52, 50, , , , 
2025/3/25, 60, 50, , , , 
2025/3/26, 45, 58, , , , 
2025/3/27, 67, 50, , , , 
2025/3/28, 61, 55, , , , 
2025/3/29, 70, 55, , , , 
