date, pm25, pm10, o3, no2, so2, co
2025/4/2, 46, 31, 26, 13, 21, 2
2025/4/3, 50, 33, 28, 15, 24, 1
2025/4/4, 46, 28, 18, 9, 14, 1
2025/4/5, 45, 22, 15, 6, 10, 1
2025/4/6, 35, 19, 12, 6, 9, 1
2025/4/7, 39, 23, 1, 12, 18, 1
2025/4/8, 37, , , , , 
2025/1/2, 48, 35, 14, 3, 6, 1
2025/1/3, 41, 30, 16, 3, 5, 1
2025/1/4, 36, 25, 15, 2, 4, 1
2025/1/5, 30, 23, 15, 3, 5, 1
2025/1/6, 24, 20, 16, 3, 5, 1
2025/1/7, 23, 15, 11, 3, 5, 1
2025/1/8, 23, 18, 17, 3, 5, 1
2025/1/9, 17, 26, 17, 4, 7, 1
2025/1/10, 22, 37, 26, 5, 8, 4
2025/1/11, 37, 37, 21, 5, 8, 1
2025/1/12, 40, 22, 13, 4, 7, 1
2025/1/13, 26, 19, 14, 3, 6, 1
2025/1/14, 13, 30, 15, 4, 7, 1
2025/1/15, 33, 34, 28, 6, 10, 6
2025/1/16, 38, 24, 20, 5, 9, 1
2025/1/17, 22, 28, 22, 5, 9, 1
2025/1/18, 28, 29, 15, 4, 7, 
2025/1/19, 32, 35, 21, 6, 10, 
2025/1/20, 40, 30, 14, 5, 8, 1
2025/1/21, 37, 28, 16, 5, 8, 1
2025/1/22, 38, 18, 14, 4, 6, 1
2025/1/23, 13, 13, 2, 5, 8, 1
2025/1/24, 13, 31, 16, 4, 6, 1
2025/1/25, 23, 46, 28, 6, 10, 4
2025/1/26, 47, 34, 14, 4, 7, 1
2025/1/27, 38, 34, 30, 7, 11, 5
2025/1/28, 36, 40, 18, 5, 8, 1
2025/1/29, 45, 37, 16, 5, 8, 1
2025/1/30, 42, 28, 16, 4, 7, 1
2025/1/31, 35, 34, 20, 5, 9, 1
2025/2/1, 35, 32, 14, 5, 8, 1
2025/2/2, 36, 33, 19, 7, 12, 1
2025/2/3, 47, 34, 25, 6, 10, 1
2025/2/4, 38, 42, 19, 7, 12, 1
2025/2/5, 45, 39, 25, 7, 12, 1
2025/2/6, 44, 55, 24, 5, 9, 5
2025/2/7, 36, 84, 16, 5, 9, 1
2025/2/8, 42, 49, 20, 6, 9, 1
2025/2/9, 51, 23, 14, 5, 8, 1
2025/2/10, 40, 23, 13, 4, 7, 1
2025/2/11, 29, 37, 22, 6, 9, 1
2025/2/12, 53, 49, 21, 9, 14, 2
2025/2/13, 71, 52, 28, 8, 13, 3
2025/2/14, 68, 39, 18, 6, 10, 1
2025/2/15, 50, 33, 18, 5, 8, 1
2025/2/16, 45, 30, 17, 4, 7, 1
2025/2/17, 36, 43, 36, 11, 14, 10
2025/2/18, 47, 42, 18, 6, 10, 1
2025/2/19, 42, 31, 18, 4, 7, 
2025/2/20, 39, 24, 15, 6, 9, 1
2025/2/21, 27, 21, 7, 7, 12, 1
2025/2/22, 31, , , , , 
2025/2/24, 46, 27, 18, 6, 10, 1
2025/2/25, 31, 33, 19, 7, 11, 1
2025/2/26, 44, 41, 19, 6, 10, 2
2025/2/27, 49, 31, 21, 6, 9, 6
2025/2/28, 47, 23, 15, 5, 8, 1
2025/3/1, 28, 18, 13, 4, 6, 1
2025/3/2, 16, 14, 12, 3, 6, 1
2025/3/3, 16, 24, 20, 5, 9, 1
2025/3/4, 17, 28, 23, 5, 8, 1
2025/3/5, 22, 35, 17, 5, 9, 1
2025/3/6, 35, 22, 15, 5, 8, 1
2025/3/7, 34, 20, 18, 6, 9, 5
2025/3/8, 22, 30, 28, 6, 9, 1
2025/3/9, 29, 40, 24, 6, 10, 1
2025/3/10, 49, 39, 22, 8, 12, 2
2025/3/11, 46, 44, 21, 12, 19, 3
2025/3/12, 51, 43, 19, 8, 13, 1
2025/3/13, 50, 33, 21, 5, 8, 7
2025/3/14, 38, 23, 20, 2, 3, 1
2025/3/15, 30, 24, 20, 4, 6, 1
2025/3/16, 28, 30, 23, 3, 5, 2
2025/3/17, 41, 42, 25, 5, 9, 2
2025/3/18, 54, 49, 21, 5, 9, 2
2025/3/19, 58, 26, 16, 2, 4, 1
2025/3/20, 34, 29, 27, 2, 4, 6
2025/3/21, 38, 35, 24, 8, 13, 1
2025/3/22, 50, 34, 17, 6, 10, 1
2025/3/23, 46, 41, 18, 6, 9, 1
2025/3/24, 62, 36, 15, 7, 11, 1
2025/3/25, 59, , , , , 
2025/3/28, 66, 42, 28, 9, 15, 1
2025/3/29, 62, 34, 15, 8, 13, 2
2025/3/30, 50, 14, 12, 7, 11, 2
2025/3/31, 26, 25, 20, 10, 16, 3
2025/4/1, 40, 30, 20, 12, 19, 2
2024/10/2, 26, 23, 23, 8, 14, 1
2024/10/3, 29, 35, 33, 11, 17, 4
2024/10/4, 45, 35, 4, 15, 24, 1
2024/10/5, 53, 31, 25, 8, 14, 1
2024/10/6, 43, 24, 20, 6, 10, 1
2024/10/7, 31, 21, 23, 6, 9, 1
2024/10/8, 24, 14, 20, 6, 9, 1
2024/10/9, 15, 19, 22, 7, 11, 1
2024/10/10, 22, 19, 19, 6, 10, 1
2024/10/11, 28, 20, 21, 6, 9, 5
2024/10/12, 28, 30, 17, 8, 13, 2
2024/10/13, 45, 27, 20, 7, 11, 2
2024/10/14, 42, 31, 18, 9, 15, 1
2024/10/15, 36, 34, 25, 10, 16, 1
2024/10/16, 41, 26, 26, 7, 11, 8
2024/10/17, 46, 35, 26, 9, 14, 1
2024/10/18, 40, 35, 20, 8, 13, 1
2024/10/19, 39, 17, 14, 5, 9, 1
2024/10/20, 32, 7, 19, 4, 7, 1
2024/10/21, 18, 20, 21, 8, 12, 1
2024/10/22, 25, 16, 13, 6, 10, 1
2024/10/23, 20, 17, 17, 6, 9, 1
2024/10/24, 16, 26, 27, 7, 11, 4
2024/10/25, 32, 26, 24, 5, 8, 2
2024/10/26, 30, 40, 21, 7, 11, 1
2024/10/27, 43, 34, 19, 5, 8, 1
2024/10/28, 38, 31, 25, 6, 10, 4
2024/10/29, 31, 14, 16, 4, 7, 
2024/10/30, 16, 20, 19, 4, 7, 
2024/10/31, 17, 22, 18, 4, 7, 1
2024/11/1, 30, 16, 20, 4, 6, 1
2024/11/2, 23, 27, 22, 7, 11, 1
2024/11/3, 28, 26, 16, 6, 10, 1
2024/11/4, 23, 25, 22, 7, 11, 1
2024/11/5, 27, 34, 27, 7, 11, 1
2024/11/6, 36, 34, 28, 7, 11, 1
2024/11/7, 38, 39, 25, 7, 11, 1
2024/11/8, 35, 41, 35, 9, 15, 5
2024/11/9, 45, 34, 21, 7, 11, 1
2024/11/10, 40, 20, 17, 3, 4, 
2024/11/11, 15, 30, 23, 6, 9, 1
2024/11/12, 33, 46, 34, 8, 13, 1
2024/11/13, 56, 48, 19, 5, 9, 1
2024/11/14, 49, 34, 23, 4, 7, 14
2024/11/15, 34, 25, 19, 5, 8, 1
2024/11/16, 23, 31, 17, 4, 7, 1
2024/11/17, 37, 50, 22, 4, 7, 1
2024/11/18, 38, 87, 15, 5, 9, 1
2024/11/19, 33, 89, 26, 4, 6, 9
2024/11/20, 34, 51, 21, 6, 10, 4
2024/11/21, 28, 41, 15, 8, 12, 13
2024/11/22, 23, 34, 20, 4, 7, 1
2024/11/23, 17, 37, 22, 5, 8, 1
2024/11/24, 20, 31, 17, 3, 6, 1
2024/11/25, 21, 33, 18, 5, 8, 1
2024/11/26, 20, 34, 20, 4, 7, 1
2024/11/27, 21, 30, 20, 4, 6, 1
2024/11/28, 16, 43, 24, 4, 7, 1
2024/11/29, 18, 43, 27, 11, 14, 7
2024/11/30, 32, 36, 18, 5, 8, 1
2024/12/1, 29, 31, 18, 2, 3, 
2024/12/2, 25, 43, 22, 4, 6, 1
2024/12/3, 27, 38, 16, 4, 6, 1
2024/12/4, 29, 38, 19, 3, 6, 1
2024/12/5, 34, 31, 22, 2, 4, 5
2024/12/6, 22, 32, 23, 4, 7, 1
2024/12/7, 21, 39, 21, 5, 8, 1
2024/12/8, 35, 33, 19, 3, 6, 1
2024/12/9, 36, 48, 28, 5, 8, 7
2024/12/10, 39, 41, 17, 5, 8, 1
2024/12/11, 49, 38, 36, 9, 11, 12
2024/12/12, 45, 31, 18, 5, 8, 1
2024/12/13, 39, 37, 26, 7, 11, 1
2024/12/14, 45, 38, 16, 4, 7, 1
2024/12/15, 44, 29, 17, 3, 5, 
2024/12/16, 39, 29, 18, 4, 7, 1
2024/12/17, 31, 22, 19, 4, 6, 1
2024/12/18, 23, 30, 20, 5, 7, 1
2024/12/19, 33, 42, 32, 8, 13, 9
2024/12/20, 46, 42, 29, 7, 11, 1
2024/12/21, 50, 34, 30, 6, 10, 1
2024/12/22, 37, 31, 16, 5, 8, 1
2024/12/23, 37, 29, 18, 5, 8, 1
2024/12/24, 48, 25, 15, 4, 7, 1
2024/12/25, 39, 29, 17, 2, 4, 1
2024/12/26, 41, 20, 14, 3, 5, 
2024/12/27, 28, 21, 20, 4, 7, 6
2024/12/28, 20, 20, 17, 4, 7, 1
2024/12/29, 11, 25, 17, 4, 6, 1
2024/12/30, 24, , , , , 
2024/7/2, 84, 45, 13, 14, 22, 4
2024/7/3, 79, 43, 13, 13, 20, 3
2024/7/4, 82, 46, 32, 9, 14, 9
2024/7/5, 95, 59, 10, 11, 18, 6
2024/7/6, 122, 62, 12, 11, 17, 8
2024/7/7, 132, 55, 17, 10, 16, 6
2024/7/8, 129, 55, 17, 11, 18, 6
2024/7/9, 119, 71, 19, 9, 15, 7
2024/7/10, 144, 43, 18, 9, 14, 2
2024/7/11, 66, 53, 16, 12, 19, 5
2024/7/12, 110, 61, 16, 13, 20, 7
2024/7/13, 130, 64, 14, 13, 21, 6
2024/7/14, 141, 61, 14, 11, 17, 7
2024/7/15, 147, 55, 7, 12, 19, 3
2024/7/16, 135, 57, 13, 15, 25, 6
2024/7/17, 133, 58, 9, 16, 25, 5
2024/7/18, 116, 55, 11, 12, 19, 7
2024/7/19, 117, 52, 9, 10, 15, 4
2024/7/20, 108, 49, 7, 11, 17, 3
2024/7/21, 105, 36, 17, 10, 16, 4
2024/7/22, 84, 41, 17, 12, 19, 2
2024/7/23, 86, 40, 14, 10, 16, 4
2024/7/24, 82, 42, 15, 12, 19, 4
2024/7/25, 90, 47, 19, 14, 21, 6
2024/7/26, 81, 54, 13, 11, 18, 5
2024/7/27, 104, 53, 21, 10, 15, 5
2024/7/28, 122, 52, 17, 11, 18, 5
2024/7/29, 110, 63, 16, 15, 23, 4
2024/7/30, 118, 54, 16, 10, 17, 1
2024/7/31, 103, 38, 11, 9, 15, 2
2024/8/1, 63, 44, 14, 12, 18, 4
2024/8/2, 79, 11, 21, 8, 13, 1
2024/8/3, 27, 23, 18, 9, 14, 6
2024/8/4, 44, 39, 16, 7, 11, 5
2024/8/5, 77, 30, 7, 12, 19, 3
2024/8/6, 68, 15, 19, 7, 11, 2
2024/8/7, 39, 34, 17, 8, 13, 4
2024/8/8, 70, 46, 18, 11, 17, 9
2024/8/9, 80, 36, 15, 14, 22, 3
2024/8/10, 71, 43, 16, 15, 24, 4
2024/8/11, 82, 45, 16, 10, 16, 5
2024/8/12, 86, 49, 13, 11, 17, 4
2024/8/13, 84, 34, 10, 8, 13, 2
2024/8/14, 80, 30, 7, 6, 10, 1
2024/8/15, 64, 34, 9, 6, 9, 1
2024/8/16, 74, 41, 14, 7, 11, 7
2024/8/17, 80, 50, 11, 7, 11, 4
2024/8/18, 102, 40, 7, 9, 14, 3
2024/8/19, 85, 31, 19, 8, 13, 8
2024/8/20, 70, 21, 14, 8, 13, 2
2024/8/21, 46, 28, 15, 9, 14, 2
2024/8/22, 59, 18, 17, 10, 15, 2
2024/8/23, 43, 26, 16, 10, 16, 4
2024/8/24, 60, 34, 18, 12, 19, 3
2024/8/25, 62, 31, 18, 11, 17, 3
2024/8/26, 66, 33, 16, 11, 18, 3
2024/8/27, 64, 37, 15, 11, 18, 2
2024/8/28, 67, 37, 11, 8, 12, 2
2024/8/29, 67, 22, 13, 6, 9, 1
2024/8/30, 47, 29, 22, 11, 18, 13
2024/8/31, 51, 35, 21, 11, 17, 2
2024/9/1, 68, 39, 19, 10, 16, 2
2024/9/2, 72, 24, 24, 5, 8, 7
2024/9/3, 43, 30, 20, 4, 6, 2
2024/9/4, 50, 41, 24, 7, 11, 3
2024/9/5, 67, 44, 23, 10, 16, 2
2024/9/6, 64, 35, 21, 5, 8, 2
2024/9/7, 56, 23, 19, 3, 5, 2
2024/9/8, 43, 39, 26, 4, 7, 2
2024/9/9, 71, 41, 24, 6, 9, 1
2024/9/10, 62, 29, 22, 5, 8, 1
2024/9/11, 45, 26, 24, 4, 6, 1
2024/9/12, 41, 32, 21, 3, 5, 1
2024/9/13, 52, 28, 34, 8, 12, 5
2024/9/14, 40, 38, 29, 13, 20, 4
2024/9/15, 62, 40, 39, 11, 17, 3
2024/9/16, 64, 40, 26, 7, 11, 1
2024/9/17, 59, 33, 26, 5, 8, 1
2024/9/18, 58, 38, 21, 4, 7, 2
2024/9/19, 81, 13, 23, 3, 5, 1
2024/9/20, 27, 20, 18, 3, 5, 1
2024/9/21, 43, 17, 21, 2, 4, 2
2024/9/22, 36, 21, 14, 7, 11, 2
2024/9/23, 47, 21, 19, 4, 6, 2
2024/9/24, 42, 18, 26, 4, 6, 1
2024/9/25, 38, 23, 25, 6, 10, 8
2024/9/26, 37, 39, 25, 13, 21, 1
2024/9/27, 49, 43, 22, 11, 17, 1
2024/9/28, 61, 34, 23, 9, 14, 1
2024/9/29, 43, 20, 18, 4, 7, 1
2024/9/30, 30, 18, 18, 6, 10, 1
2024/10/1, 26, 20, 20, 8, 13, 1
2024/4/2, 30, , , , , 
2024/4/11, 54, 36, 16, 7, 12, 8
2024/4/12, 57, 41, 10, 8, 13, 2
2024/4/13, 59, 37, 15, 6, 10, 2
2024/4/14, 57, 36, 16, 7, 11, 2
2024/4/15, 51, 34, 13, 9, 15, 2
2024/4/16, 49, 40, 27, 8, 13, 8
2024/4/17, 54, 56, 33, 11, 17, 4
2024/4/18, 63, 55, 21, 9, 15, 1
2024/4/19, 61, 37, 16, 4, 6, 1
2024/4/20, 51, 49, 13, 8, 14, 1
2024/4/21, 66, 37, 13, 7, 11, 1
2024/4/22, 55, 22, 12, 4, 7, 1
2024/4/23, 33, 35, 19, 4, 6, 5
2024/4/24, 44, 41, 17, 5, 8, 2
2024/4/25, 63, 37, 18, 5, 8, 1
2024/4/26, 58, 31, 16, 4, 6, 1
2024/4/27, 39, 37, 19, 4, 7, 2
2024/4/28, 52, 42, 16, 4, 6, 2
2024/4/29, 65, 33, 15, 5, 8, 2
2024/4/30, 52, 18, 19, 2, 3, 5
2024/5/1, 22, 23, 13, 3, 5, 2
2024/5/2, 46, 36, 9, 4, 7, 2
2024/5/3, 61, 36, 3, 5, 8, 3
2024/5/4, 59, 35, 13, 6, 10, 3
2024/5/5, 67, 36, 11, 4, 6, 2
2024/5/6, 69, 43, 13, 5, 8, 3
2024/5/7, 68, 19, 10, 5, 8, 2
2024/5/8, 51, 26, 14, 5, 8, 4
2024/5/9, 60, 47, 19, 9, 15, 11
2024/5/10, 90, 47, 23, 18, 25, 9
2024/5/11, 93, 40, 18, 12, 19, 4
2024/5/12, 94, 35, 19, 12, 18, 4
2024/5/13, 91, 41, 21, 14, 22, 4
2024/5/14, 99, 50, 17, 16, 25, 4
2024/5/15, 116, 54, 19, 14, 22, 11
2024/5/16, 125, 37, 15, 12, 19, 5
2024/5/17, 89, 38, 18, 13, 21, 5
2024/5/18, 90, 47, 21, 14, 22, 4
2024/5/19, 102, 53, 15, 18, 28, 5
2024/5/20, 120, 48, , 18, 29, 2
2024/5/21, 129, 26, 7, 9, 14, 1
2024/5/22, 69, 29, 5, 11, 17, 2
2024/5/23, 73, 22, 19, 8, 13, 10
2024/5/24, 56, 41, 3, 13, 21, 4
2024/5/25, 81, 44, 11, 8, 13, 5
2024/5/26, 90, 29, 14, 6, 10, 6
2024/5/27, 70, 43, 6, 12, 18, 4
2024/5/28, 83, 47, 6, 13, 20, 4
2024/5/29, 93, 52, 7, 14, 22, 5
2024/5/30, 100, 51, 9, 17, 26, 4
2024/5/31, 94, 49, 16, 12, 19, 8
2024/6/1, 63, 51, 8, 14, 22, 5
2024/6/2, 31, 57, 4, 14, 22, 6
2024/6/3, 32, 48, 4, 11, 17, 3
2024/6/4, 39, 59, 2, 13, 20, 4
2024/6/5, 103, 62, 8, 13, 21, 9
2024/6/6, 118, 71, , 14, 23, 5
2024/6/7, 140, 53, 3, 15, 24, 7
2024/6/8, 96, 32, 15, 9, 15, 2
2024/6/9, 62, 16, 17, 8, 13, 1
2024/6/10, 40, 44, 2, 11, 17, 6
2024/6/11, 82, 55, , 12, 19, 6
2024/6/12, 100, 37, 8, 11, 17, 2
2024/6/13, 65, 10, 20, 6, 9, 11
2024/6/14, 22, 32, 16, 7, 12, 8
2024/6/15, 50, 42, 9, 9, 15, 9
2024/6/16, 78, 39, 9, 7, 11, 3
2024/6/17, 88, 31, 8, 11, 17, 1
2024/6/18, 66, 12, 12, 8, 13, 1
2024/6/19, 34, 23, 13, 9, 15, 5
2024/6/20, 40, 36, 12, 9, 14, 3
2024/6/21, 72, 11, 13, 10, 16, 11
2024/6/22, 28, 9, , 11, 18, 1
2024/6/23, 34, 23, 8, 10, 15, 2
2024/6/24, 64, 37, 18, 9, 14, 6
