date, pm25, pm10, o3, no2, so2, co
2025/4/2, 36, 50, 24, 18, 4, 4
2025/4/3, 55, 52, 21, 19, , 1
2025/4/4, 57, 43, 20, 19, , 1
2025/4/5, 47, 40, 19, 16, , 1
2025/4/6, 47, 50, 14, 21, , 2
2025/4/7, 57, 52, 13, 21, , 1
2025/4/8, 44, , , , , 
2025/1/2, 46, 32, 25, 5, 3, 5
2025/1/3, 36, 62, 11, 5, , 2
2025/1/4, 32, 41, 10, 6, , 2
2025/1/5, 46, 73, 9, 3, , 2
2025/1/6, 82, 23, 8, 1, , 2
2025/1/7, 30, 27, 10, 4, , 2
2025/1/8, 31, 26, 16, 6, 4, 4
2025/1/9, 30, 21, 13, 4, , 2
2025/1/10, 33, 20, 12, 4, , 2
2025/1/11, 27, 53, 15, 5, , 2
2025/1/12, 69, 16, 14, 2, , 2
2025/1/13, 14, 64, 17, 4, 2, 5
2025/1/14, 28, 23, 12, 4, , 2
2025/1/15, 28, 25, 12, 4, , 2
2025/1/16, 30, 32, 10, 6, , 2
2025/1/17, 40, 35, 13, 6, , 2
2025/1/18, 32, 26, 12, 4, , 2
2025/1/19, 26, 22, 12, 2, , 2
2025/1/20, 24, 36, 13, 6, , 2
2025/1/21, 34, 28, 14, 5, , 2
2025/1/22, 34, 70, 24, 8, 2, 5
2025/1/23, 221, 34, 13, 9, , 2
2025/1/24, 34, 31, 13, 7, , 2
2025/1/25, 28, 41, 12, 7, , 2
2025/1/26, 46, 39, 13, 6, , 2
2025/1/27, 45, 69, 19, 5, 3, 4
2025/1/28, 78, 26, 12, 4, , 2
2025/1/29, 31, 26, 12, 8, , 2
2025/1/30, 25, 32, 14, 9, , 2
2025/1/31, 35, 34, 56, 6, , 2
2025/2/1, 43, 40, 13, 10, , 2
2025/2/2, 48, 28, 13, 4, , 2
2025/2/3, 36, 27, 12, 8, , 2
2025/2/4, 30, 39, 12, 6, , 2
2025/2/5, 36, 91, 17, 16, 2, 4
2025/2/6, 133, 33, 10, 23, , 2
2025/2/7, 31, 29, 9, 21, , 2
2025/2/8, 28, 42, 13, 26, , 3
2025/2/9, 47, 33, 9, 23, , 2
2025/2/10, 36, 34, 10, 24, , 2
2025/2/11, 35, 79, 15, 24, 3, 5
2025/2/12, 80, 31, 12, 24, , 2
2025/2/13, 29, 35, 12, 22, , 2
2025/2/14, 33, 35, 11, 24, , 2
2025/2/15, 37, 47, 13, 25, , 2
2025/2/16, 51, 39, 13, 21, , 2
2025/2/17, 43, 76, 16, 21, 2, 4
2025/2/18, 80, 48, 14, 21, , 2
2025/2/19, 46, 47, 12, 23, , 2
2025/2/20, 51, 80, 14, 22, , 3
2025/2/21, 85, 42, 9, 19, , 2
2025/2/22, 38, 44, 11, 16, , 3
2025/2/23, 41, 40, 11, 14, , 3
2025/2/24, 45, 35, 11, 11, , 3
2025/2/25, 38, 78, 16, 18, 2, 5
2025/2/26, 82, 55, 10, 49, , 4
2025/2/27, 62, 29, 8, 24, , 4
2025/2/28, 32, 48, 10, 38, , 4
2025/3/1, 48, 47, 10, 32, , 6
2025/3/2, 48, 37, 11, 32, , 7
2025/3/3, 45, 41, 11, 27, , 8
2025/3/4, 44, 51, 14, 29, , 9
2025/3/5, 50, 106, 16, 21, 3, 18
2025/3/6, 117, 47, 13, 18, , 1
2025/3/7, 47, 45, 16, 21, , 1
2025/3/8, 45, 46, 13, 19, , 2
2025/3/9, 48, 37, 11, 14, , 2
2025/3/10, 42, 46, 12, 9, , 2
2025/3/11, 42, 79, 12, 8, , 2
2025/3/12, 83, 39, 10, 6, , 1
2025/3/13, 42, 82, 14, 9, 5, 4
2025/3/14, 130, 73, 35, 27, 8, 10
2025/3/15, 78, 31, 12, 7, , 
2025/3/16, 36, 36, 14, 6, , 
2025/3/17, 41, 41, 16, 7, , 
2025/3/18, 43, 51, 14, 8, , 1
2025/3/19, 55, 70, 32, 7, 3, 1
2025/3/20, 81, 56, 20, 17, , 1
2025/3/21, 53, 50, 20, 18, , 1
2025/3/22, 50, 38, 19, , , 1
2025/3/23, 41, 40, 21, , , 1
2025/3/24, 45, 53, 23, , , 2
2025/3/25, 52, 49, 23, 15, , 2
2025/3/26, 51, 47, 21, 17, 3, 5
2025/3/27, 48, 42, 19, 17, , 2
2025/3/28, 35, 80, 23, 21, , 2
2025/3/29, 79, 39, 23, 14, , 2
2025/3/30, 47, 42, 19, 14, , 2
2025/3/31, 51, 44, 18, 15, , 2
2025/4/1, 43, 33, 21, 11, , 2
2024/10/2, 49, 27, 20, 1, 1, 5
2024/10/3, 49, 22, 19, 1, 2, 5
