date, pm25, pm10, o3, no2, so2, co
2025/4/2, 73, , , , , 
2025/1/2, 46, 40, 35, 10, , 
2025/1/3, 37, 47, 40, 13, , 1
2025/1/4, 49, 44, 38, 8, , 
2025/1/5, 48, 41, 40, 7, , 
2025/1/6, 46, 43, 31, 9, , 
2025/1/7, 43, 35, 24, 7, , 
2025/1/8, 38, 39, 33, 8, , 
2025/1/9, 43, 43, 36, 11, , 
2025/1/10, 38, 45, 37, 11, , 1
2025/1/11, 44, 43, 41, 12, , 1
2025/1/12, 47, 39, 27, 8, , 
2025/1/13, 41, 34, 30, 7, , 
2025/1/14, 39, 40, 33, 10, , 
2025/1/15, 40, 45, 38, 12, , 
2025/1/16, 41, 29, 28, 6, , 
2025/1/17, 24, 43, 31, 10, , 
2025/1/18, 38, 37, 26, 7, , 
2025/1/19, 33, 28, 39, 8, , 
2025/1/20, 35, 47, 34, 11, , 
2025/1/21, 43, 45, 38, 12, , 1
2025/1/22, 53, 37, 23, 8, , 
2025/1/23, 36, 38, 32, 10, , 
2025/1/24, 32, 43, 46, 12, , 
2025/1/25, 45, 45, 41, 12, , 1
2025/1/26, 51, 45, 42, 10, , 1
2025/1/27, 59, 45, 38, 11, , 
2025/1/28, 46, 44, 45, 12, , 
2025/1/29, 45, 52, 35, 16, , 1
2025/1/30, 50, 51, 32, 18, , 1
2025/1/31, 57, 47, 39, 19, , 1
2025/2/1, 46, 39, 35, 11, , 
2025/2/2, 38, 36, 32, 9, , 
2025/2/3, 43, 40, 37, 12, , 
2025/2/4, 37, 39, 43, 13, , 
2025/2/5, 36, 42, 39, 12, , 1
2025/2/6, 39, 43, 51, 6, , 
2025/2/7, 38, 51, 44, 5, , 1
2025/2/8, 54, 52, 62, 8, , 1
2025/2/9, 63, 58, 43, 22, , 3
2025/2/10, 65, 45, 31, 5, , 1
2025/2/11, 50, 44, 41, 12, , 1
2025/2/12, 63, 51, 46, 14, , 
2025/2/13, 61, 53, 56, 16, , 1
2025/2/14, 67, 47, 41, 12, , 
2025/2/15, 58, 37, 33, 9, , 
2025/2/16, 41, 35, 39, 7, , 
2025/2/17, 44, 44, 34, 11, , 
2025/2/18, 49, 85, 23, 15, , 1
2025/2/19, 47, 53, 25, 10, , 
2025/2/20, 52, 50, 31, 12, , 
2025/2/21, 46, 50, 37, 14, , 1
2025/2/22, 47, 53, 39, 15, , 2
2025/2/23, 46, 40, 35, 8, , 1
2025/2/24, 32, 43, 36, 11, , 29
2025/2/25, 36, 42, 35, 16, , 1
2025/2/26, 36, 48, 36, 18, , 1
2025/2/27, 40, 56, 33, 16, , 1
2025/2/28, 52, 42, 21, 10, , 
2025/3/1, 34, 32, 23, 6, , 
2025/3/2, 28, 28, 15, 6, , 
2025/3/3, 24, 35, 16, 10, , 
2025/3/4, 25, 46, 14, 11, , 
2025/3/5, 32, 47, 12, 12, , 
2025/3/6, 37, 43, 8, 10, , 
2025/3/7, 34, 36, 14, 10, , 
2025/3/8, 27, 43, 30, 10, , 
2025/3/9, 29, 42, 35, 12, , 1
2025/3/10, 40, 55, 34, 16, , 1
2025/3/11, 48, 52, 32, 17, , 1
2025/3/12, 44, 56, 45, 19, , 2
2025/3/13, 56, 58, 39, 19, , 1
2025/3/14, 53, 50, 28, 13, , 
2025/3/15, 52, 42, 28, 9, , 
2025/3/16, 46, 42, 37, 9, , 
2025/3/17, 40, 56, 39, 20, , 1
2025/3/18, 54, 69, 46, 25, , 3
2025/3/19, 58, 58, 29, 17, , 1
2025/3/20, 51, 49, 35, 16, , 1
2025/3/21, 45, 58, 44, 20, , 2
2025/3/22, 55, 49, 38, 13, , 1
2025/3/23, 43, 45, 31, 10, , 
2025/3/24, 53, 50, 28, 14, , 
2025/3/25, 56, 53, 27, 11, , 
2025/3/26, 51, 57, 32, 19, , 2
2025/3/27, 66, 77, 32, 13, , 
2025/3/28, 62, 59, 28, 22, , 2
2025/3/29, 71, 43, 35, 20, , 7
2025/3/30, 69, 9, 11, 8, , 1
2025/3/31, 21, , 17, 19, , 3
2025/4/1, 46, , 1, 27, , 11
2024/10/2, 40, 43, 29, 21, , 2
