date, pm25, pm10, o3, no2, so2, co
2025/4/2, 69, , , , , 
2025/1/2, 55, 43, 49, 8, , 2
2025/1/3, 41, 53, 53, 11, , 2
2025/1/4, 55, 47, 49, 6, , 2
2025/1/5, 54, 47, 56, 7, , 2
2025/1/6, 55, 48, 45, 9, , 2
2025/1/7, 50, 40, 36, 5, , 2
2025/1/8, 48, 47, 49, 7, , 2
2025/1/9, 45, 48, 56, 8, , 1
2025/1/10, 42, 52, 57, 11, , 
2025/1/11, 48, 48, 67, 10, , 
2025/1/12, 48, 43, 38, 7, , 1
2025/1/13, 44, 41, 45, 6, , 1
2025/1/14, 48, 45, 51, 7, , 1
2025/1/15, 48, 51, 62, 10, , 2
2025/1/16, 46, 40, 42, 6, , 1
2025/1/17, 34, 44, 43, 9, , 1
2025/1/18, 37, 45, 37, 7, , 1
2025/1/19, 47, 34, 54, 7, , 1
2025/1/20, 35, 54, 48, 10, , 1
2025/1/21, 64, 52, 50, 9, , 2
2025/1/22, 54, 44, 38, 8, , 1
2025/1/23, 41, 43, 51, 8, , 1
2025/1/24, 38, 50, 69, 13, , 1
2025/1/25, 50, 50, 64, 12, , 1
2025/1/26, 55, 49, 59, 8, , 1
2025/1/27, 64, 50, 53, 9, , 1
2025/1/28, 48, 48, 56, 9, , 1
2025/1/29, 44, 57, 53, 14, , 1
2025/1/30, 51, 61, 44, 22, , 3
2025/1/31, 58, 52, 50, 13, , 3
2025/2/1, 52, 47, 48, 12, , 1
2025/2/2, 49, 40, 38, 6, , 1
2025/2/3, 47, 47, 46, 11, , 2
2025/2/4, 46, 47, 47, 10, , 2
2025/2/5, 42, 48, 41, 11, , 2
2025/2/6, 38, 50, 54, 12, , 2
2025/2/7, 43, 58, 56, 15, , 2
2025/2/8, 58, 58, 60, 16, , 3
2025/2/9, 66, 53, 47, 10, , 2
2025/2/10, 59, 53, 36, 10, , 2
2025/2/11, 57, 50, 49, 9, , 2
2025/2/12, 59, 50, 53, 11, , 2
2025/2/13, 57, 57, 67, 14, , 2
2025/2/14, 63, 51, 47, 13, , 2
2025/2/15, 53, 41, 33, 9, , 2
2025/2/16, 42, 40, 60, 11, , 2
2025/2/17, 47, 48, 47, 13, , 6
2025/2/18, 47, 55, 47, 14, , 3
2025/2/19, 54, 57, 34, 10, , 2
2025/2/20, 55, 53, 44, 10, , 3
2025/2/21, 55, 53, 48, 14, , 2
2025/2/22, 53, 52, 51, 14, , 1
2025/2/23, 57, 44, 47, 10, , 2
2025/2/24, 49, 50, 43, 14, , 2
2025/2/25, 47, 46, 48, 14, , 3
2025/2/26, 44, 56, 43, 15, , 2
2025/2/27, 52, 54, 37, 13, , 2
2025/2/28, 56, 47, 27, 9, , 2
2025/3/1, 45, 37, 29, 8, , 2
2025/3/2, 41, 30, 21, 6, , 2
2025/3/3, 36, 45, 28, 11, , 3
2025/3/4, 39, 56, 36, 14, , 2
2025/3/5, 57, 53, 32, 14, , 2
2025/3/6, 46, 48, 23, 10, , 2
2025/3/7, 44, 43, 23, 9, , 3
2025/3/8, 41, 48, 29, 12, , 3
2025/3/9, 49, 45, 41, 13, , 2
2025/3/10, 48, 54, 39, 16, , 2
2025/3/11, 55, 59, 41, 17, , 3
2025/3/12, 54, 61, 46, 21, , 3
2025/3/13, 58, 61, 42, 18, , 3
2025/3/14, 60, 55, 17, 12, , 2
2025/3/15, 61, 48, 16, 11, , 3
2025/3/16, 63, 52, 19, 15, , 4
2025/3/17, 65, 62, 78, 20, , 3
2025/3/18, 49, 67, 46, 18, , 4
2025/3/19, 20, 65, 29, 15, , 3
2025/3/20, 23, 64, 35, 17, , 4
2025/3/21, 35, 63, 46, 19, , 3
2025/3/22, 56, 53, 38, 13, , 2
2025/3/23, 49, 48, 32, 9, , 1
2025/3/24, 54, 57, 30, 14, , 3
2025/3/25, 57, 59, 27, 14, , 2
2025/3/26, 56, 63, 32, 16, , 2
2025/3/27, 65, 63, 32, 15, , 1
2025/3/28, 69, 73, 28, 25, , 3
2025/3/29, 81, 64, 35, 18, , 3
2025/3/30, 68, 26, 10, 11, , 2
2025/3/31, 35, 46, 19, 19, , 3
2025/4/1, 50, 57, , 30, , 8
2024/10/2, 38, 42, 47, 16, , 4
2024/10/3, 50, 52, 48, 21, , 4
2024/10/4, 56, 53, 47, 21, , 4
2024/10/5, 55, 47, 56, 15, , 2
2024/10/6, 56, 50, 20, 20, , 4
2024/10/7, 62, 36, 35, 13, , 3
2024/10/8, 55, 15, 15, 9, , 3
2024/10/9, 35, 37, 27, 22, , 4
2024/10/10, 59, 40, 29, 12, , 3
2024/10/11, 62, 36, 20, 10, , 3
2024/10/12, 58, 47, 24, 14, , 3
2024/10/13, 72, 39, 46, 10, , 2
2024/10/14, 63, 48, 35, 20, , 4
2024/10/15, 54, 51, 50, 21, , 5
2024/10/16, 55, 44, 38, 13, , 3
2024/10/17, 46, 52, 94, 20, , 4
2024/10/18, 59, 55, 69, 22, , 4
2024/10/19, 61, 48, 43, 16, , 2
2024/10/20, 61, 15, 36, 4, , 1
2024/10/21, 21, 33, 43, 10, , 2
2024/10/22, 36, 40, 41, 12, , 2
2024/10/23, 43, 23, 33, 7, , 1
2024/10/24, 33, 41, 82, 11, , 2
2024/10/25, 51, 39, 42, 11, , 3
2024/10/26, 44, 51, 65, 16, , 3
2024/10/27, 62, 46, 51, 13, , 2
2024/10/28, 59, 54, 70, 17, , 3
2024/10/29, 57, 53, 40, 15, , 2
2024/10/30, 55, 43, 55, 13, , 1
2024/10/31, 51, 49, 51, 15, , 2
2024/11/1, 55, 24, 36, 4, , 
2024/11/2, 42, 32, 46, 9, , 1
2024/11/3, 41, 33, 29, 9, , 3
2024/11/4, 37, 39, 40, 9, , 1
2024/11/5, 35, 47, 45, 13, , 1
2024/11/6, 42, 52, 45, 15, , 2
2024/11/7, 46, 54, 40, 18, , 2
2024/11/8, 52, 50, 54, 13, , 2
2024/11/9, 51, 48, 42, 12, , 2
2024/11/10, 47, 28, 27, 3, , 2
2024/11/11, 38, 45, 34, 9, , 2
2024/11/12, 31, 49, 49, 13, , 2
2024/11/13, 34, 54, 37, 13, , 2
2024/11/14, 47, 58, 40, 11, , 3
2024/11/15, 63, 52, 38, 10, , 2
2024/11/16, 56, 45, 12, 11, , 2
2024/11/17, 56, 40, 41, 7, , 1
2024/11/18, 50, 46, 40, 11, , 2
2024/11/19, 43, 48, 45, 8, , 2
2024/11/20, 52, 52, 37, 12, , 3
2024/11/21, 55, 52, 46, 13, , 2
2024/11/22, 49, 46, 37, 9, , 2
2024/11/23, 41, 46, 41, 10, , 2
2024/11/24, 41, 33, 34, 5, , 2
2024/11/25, 35, 41, 30, 8, , 2
2024/11/26, 39, 44, 34, 10, , 2
2024/11/27, 39, 47, 31, 8, , 2
2024/11/28, 37, 42, 36, 9, , 2
2024/11/29, 37, 48, 49, 14, , 2
2024/11/30, 42, 42, 34, 11, , 2
2024/12/1, 37, 26, 30, 3, , 1
2024/12/2, 29, 44, 33, 11, , 2
2024/12/3, 39, 49, 33, 8, , 2
2024/12/4, 49, 51, 38, 8, , 2
2024/12/5, 56, 37, 26, 6, , 4
2024/12/6, 36, 41, 32, 9, , 2
2024/12/7, 40, 46, 36, 10, , 2
2024/12/8, 46, 36, 29, 6, , 1
2024/12/9, 39, 47, 37, 10, , 2
2024/12/10, 50, 56, 40, 14, , 2
2024/12/11, 59, 53, 44, 12, , 2
2024/12/12, 54, 48, 33, 9, , 2
2024/12/13, 46, 52, 43, 12, , 2
2024/12/14, 48, 53, 45, 13, , 1
2024/12/15, 52, 45, 35, 7, , 2
2024/12/16, 53, 54, 35, 11, , 2
2024/12/17, 52, 54, 34, 9, , 3
2024/12/18, 64, 47, 41, 9, , 2
2024/12/19, 47, 55, 45, 13, , 2
