date, pm25, pm10, o3, no2, so2, co
2025/4/2, 43, , , , , 
2025/4/3, 45, , , , , 
2025/4/4, 54, , , , , 
2025/4/5, 38, , , , , 
2025/4/6, 27, , , , , 
2025/4/7, 37, , , , , 
2025/4/8, 19, , , , , 
2025/1/2, 49, , , , , 
2025/1/3, 45, , , , , 
2025/1/4, 39, , , , , 
2025/1/5, 36, , , , , 
2025/1/6, 38, , , , , 
2025/1/7, 27, , , , , 
2025/1/8, 24, , , , , 
2025/1/9, 25, , , , , 
2025/1/10, 34, , , , , 
2025/1/11, 46, , , , , 
2025/1/12, 44, , , , , 
2025/1/13, 24, , , , , 
2025/1/14, 24, , , , , 
2025/1/15, 41, , , , , 
2025/1/16, 32, , , , , 
2025/1/17, 33, , , , , 
2025/1/18, 28, , , , , 
2025/1/19, 36, , , , , 
2025/1/20, 48, , , , , 
2025/1/21, 40, , , , , 
2025/1/22, 36, , , , , 
2025/1/23, 21, , , , , 
2025/1/24, 29, , , , , 
2025/1/25, 41, , , , , 
2025/1/26, 53, , , , , 
2025/1/27, 44, , , , , 
2025/1/28, 31, , , , , 
2025/1/29, 43, , , , , 
2025/1/30, 41, , , , , 
2025/1/31, 40, , , , , 
2025/2/1, 34, , , , , 
2025/2/2, 38, , , , , 
2025/2/3, 33, , , , , 
2025/2/4, 28, , , , , 
2025/2/5, 46, , , , , 
2025/2/6, 36, , , , , 
2025/2/7, 39, , , , , 
2025/2/8, 40, , , , , 
2025/2/9, 50, , , , , 
2025/2/10, 43, , , , , 
2025/2/11, 29, , , , , 
2025/2/12, 64, , , , , 
2025/2/13, 64, , , , , 
2025/2/14, 64, , , , , 
2025/2/15, 46, , , , , 
2025/2/16, 32, , , , , 
2025/2/17, 34, , , , , 
2025/2/18, 48, , , , , 
2025/2/19, 49, , , , , 
2025/2/20, 47, , , , , 
2025/2/21, 29, , , , , 
2025/2/22, 36, , , , , 
2025/2/23, 45, , , , , 
2025/2/24, 37, , , , , 
2025/2/25, 42, , , , , 
2025/2/26, 40, , , , , 
2025/2/27, 45, , , , , 
2025/2/28, 42, , , , , 
2025/3/1, 41, , , , , 
2025/3/2, 24, , , , , 
2025/3/4, 17, , , , , 
2025/3/5, 32, , , , , 
2025/3/6, 41, , , , , 
2025/3/7, 32, , , , , 
2025/3/8, 24, , , , , 
2025/3/9, 38, , , , , 
2025/3/10, 44, , , , , 
2025/3/11, 44, , , , , 
2025/3/12, 50, , , , , 
2025/3/13, 48, , , , , 
2025/3/14, 45, , , , , 
2025/3/15, 36, , , , , 
2025/3/16, 41, , , , , 
2025/3/17, 31, , , , , 
2025/3/18, 56, , , , , 
2025/3/19, 55, , , , , 
2025/3/20, 30, , , , , 
2025/3/21, 41, , , , , 
2025/3/22, 50, , , , , 
2025/3/23, 45, , , , , 
2025/3/24, 59, , , , , 
2025/3/25, 57, , , , , 
